motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep
33891,Red Knot,ASY,21963,Marshlands 1,4721,40.1276,-75.7689,2019-06-01T02:36:10Z,Lemoine Point C.A.,4044,44.2176,-76.6069,2019-06-01T08:49:01Z,467404.4543,459542.2376,6.214275611,0.983178986,20.54151273,20.89295338,351.6137425,0.099990845,-1.300003,-1.300685753,FALSE
33891,Red Knot,ASY,21963,Jay Drasher,4218,40.3201,-75.9026,2019-06-01T03:00:08Z,Lemoine Point C.A.,4044,44.2176,-76.6069,2019-06-01T08:49:01Z,443191.028,436805.8134,5.814764083,0.985592636,20.8667018,21.17173064,352.59122,0.099990845,-1.300003,-1.302043389,FALSE
33891,Red Knot,ASY,21963,Blue Marsh Lake SGL,5010,40.4106,-76.0796,2019-06-01T03:24:11Z,Lemoine Point C.A.,4044,44.2176,-76.6069,2019-06-01T08:49:01Z,425106.0882,425106.0882,5.413974694,1,21.81115191,21.81115191,354.3071577,0.099990845,-1.300003,-1.303509982,FALSE
33893,Red Knot,ASY,21965,Edisto Beach State Park,5056,32.5043,-80.2955,2019-05-15T23:55:34Z,"Cedar Island NWR, NC",2625,34.9566,-76.2786,2019-05-16T11:52:49Z,470095.8435,460981.6104,11.95415011,0.980611968,10.71179851,10.92358533,52.74315591,-1.1000061,1.0999908,-0.209605113,TRUE
33893,Red Knot,ASY,21965,Dewees Island,5237,32.836,-79.7267,2019-05-16T01:28:18Z,"Cedar Island NWR, NC",2625,34.9566,-76.2786,2019-05-16T11:52:49Z,405290.8412,396249.1358,10.40855217,0.977690822,10.57488137,10.81618148,52.63907286,-1.1000061,1.0999908,-0.206804588,FALSE
33893,Red Knot,ASY,21965,"Cape Romain NWR, SC (Bulls Island)",5171,32.9071,-79.6134,2019-05-16T01:37:51Z,"Cedar Island NWR, NC",2625,34.9566,-76.2786,2019-05-16T11:52:49Z,392080.2418,383041.0218,10.24928369,0.976945485,10.38124097,10.6262234,52.67663792,-1.1000061,1.0999908,-0.207815417,FALSE
33893,Red Knot,ASY,21965,"Cape Romain NWR, SC (HQ)",4632,32.9726,-79.6711,2019-05-16T01:40:17Z,"Cedar Island NWR, NC",2625,34.9566,-76.2786,2019-05-16T11:52:49Z,383025.8426,383025.8426,10.20881414,1,10.42198104,10.42198104,53.99725755,-1.1000061,1.0999908,-0.243291715,FALSE
33897,Red Knot,ASY,21969,Tower Farm,5146,40.4044,-76.6825,2019-07-23T14:38:50Z,Wilmot Creek,3933,43.8932,-78.6368,2019-07-23T10:22:28Z,3166640.499,419808.5596,-4.272821167,0.13257222,-27.2919189,-205.8645393,338.0223962,2.0999908,-4.400009,-4.866170534,FALSE
33897,Red Knot,ASY,21969,B10A Oak Tree,5157,40.4763,-76.6085,2019-07-23T14:40:19Z,Wilmot Creek,3933,43.8932,-78.6368,2019-07-23T10:22:28Z,3156488.558,414848.4714,-4.297625583,0.131427206,-26.81380317,-204.0201875,336.85555,2.0999908,-4.400009,-4.871285031,FALSE
33897,Red Knot,ASY,21969,Connex Village,5144,40.467,-76.6033,2019-07-23T14:38:36Z,Wilmot Creek,3933,43.8932,-78.6368,2019-07-23T10:22:28Z,3150221.753,415967.9473,-4.268904694,0.132044021,-27.06704888,-204.9850396,336.8589783,2.0999908,-4.400009,-4.871272962,FALSE
33899,Red Knot,ASY,21971,MASH,4732,41.0517,-72.2736,2019-05-26T05:16:30Z,PKR_salt_pannes,4186,42.7804,-70.8084,2019-05-26T06:55:17Z,301194.2488,227242.2057,1.646192917,0.7544706,38.3447373,50.82336843,31.84889225,2.5999908,8,8.167507066,TRUE
33899,Red Knot,ASY,21971,TRUS,4522,41.3734,-71.5762,2019-05-26T05:26:36Z,PKR_salt_pannes,4186,42.7804,-70.8084,2019-05-26T06:55:17Z,232652.4638,168701.891,1.478006889,0.725124025,31.70596615,43.72488713,21.86758746,3,6.599991,7.242491074,FALSE
33899,Red Knot,ASY,21971,NAPA,4518,41.3063,-71.8838,2019-05-26T05:33:26Z,PKR_salt_pannes,4186,42.7804,-70.8084,2019-05-26T06:55:17Z,205848.7711,186373.7745,1.363991583,0.905391728,37.95514104,41.92123682,28.1781514,3,6.599991,7.234427722,FALSE
33901,Red Knot,ASY,21973,Bolin_Port_Burwell,4822,42.6226,-80.7218,2019-05-20T10:30:42Z,Earl_Rowe_PP,3992,44.1484,-79.9029,2019-05-20T13:36:21Z,242844.2014,182039.2131,3.094225028,0.749613176,16.34220124,21.80084577,21.09676193,7.699997,3.300003,5.850384947,TRUE
33901,Red Knot,ASY,21973,Auzins,4081,42.9254,-81.3673,2019-05-20T12:07:31Z,Earl_Rowe_PP,3992,44.1484,-79.9029,2019-05-20T13:36:21Z,180216.9153,180196.7254,1.480581889,0.999887969,33.80741473,33.81120263,40.5566173,7.899994,1.0999908,5.972302477,FALSE
33903,Red Knot,SY,21975,SGL 228,4971,40.0774,-78.7493,2019-05-21T16:23:12Z,Hullet_Provincial_Wi,3974,43.6489,-81.4697,2019-05-22T01:23:08Z,536277.8298,456419.4111,8.998833361,0.8510876,14.08884515,16.5539307,331.2431434,-0.5,-3.699997,-3.003126527,TRUE
33903,Red Knot,SY,21975,SGL 143,4213,41.8787,-79.4567,2019-05-21T21:25:52Z,Hullet_Provincial_Wi,3974,43.6489,-81.4697,2019-05-22T01:23:08Z,327565.0191,256537.569,3.95442,0.783165338,18.02045201,23.00976707,320.7202607,1.699997,-2,-2.624408595,FALSE
33903,Red Knot,SY,21975,SGL 154,4214,41.997,-79.7017,2019-05-21T21:57:35Z,Hullet_Provincial_Wi,3974,43.6489,-81.4697,2019-05-22T01:23:08Z,303365.8071,233606.9082,3.425696194,0.770050225,18.94237088,24.59887713,322.3649082,1.699997,-2,-2.621901281,FALSE
33903,Red Knot,SY,21975,Lakeview landfill,4605,42.0628,-80.0168,2019-05-21T22:17:57Z,Hullet_Provincial_Wi,3974,43.6489,-81.4697,2019-05-22T01:23:08Z,276266.8631,212470.5983,3.086296306,0.769077391,19.12311872,24.8650122,326.5144455,1.699997,-2,-2.605983683,FALSE
